"","Name","PPG","GP","Mins","FGA","FGM","FG%","3PA","3PM","3P%","FTA","FTM","FT%","PPM","PF3PG","PerPF3"
"41","Gerald Hannahs",17.5,26,28.8,12.9,6.3,0.49,7.1,3.1,0.432,1.3,1.2,0.939,0.607638888888889,9.3,53.1428571428571
"42","Jordan Bowden",17.4,32,33.4,14.2,6.2,0.439,8,2.6,0.329,2,1.5,0.754,0.520958083832335,7.8,44.8275862068966
"43","Mychal Mulder",17.3,31,36.6,12.6,5.5,0.436,10.2,4.2,0.407,1.7,1.2,0.704,0.472677595628415,12.6,72.8323699421965
"44","Ron Harper",17.3,29,32.7,12.2,6.1,0.501,5.9,2.2,0.366,2.3,1.8,0.776,0.529051987767584,6.6,38.150289017341
"45","Grant Golden",17.3,32,34.3,14,7.7,0.548,0.5,0.1,0.267,1.6,1.1,0.706,0.504373177842566,0.3,1.73410404624277
"46","Nicholas King",17.1,7,32.1,12,6.3,0.524,4.1,1.7,0.414,2.4,1.6,0.647,0.532710280373832,5.1,29.8245614035088
"47","Ethan Thompson",17,30,35.5,12.7,5.6,0.444,5,1.8,0.362,3,2.6,0.846,0.47887323943662,5.4,31.7647058823529
"48","Neemias Queta",16.8,29,27.6,10,6.8,0.685,0.3,0,0.1,2.3,1.8,0.803,0.608695652173913,0,0
"49","Keon Ellis",16.8,23,30.4,11.7,6,0.517,4.4,1.9,0.436,2.2,1.7,0.784,0.552631578947368,5.7,33.9285714285714
"50","Jalen Lecque",16.8,28,30.3,12.1,5.4,0.444,3.6,1.1,0.297,4.2,3.1,0.746,0.554455445544555,3.3,19.6428571428571
"51","Zavier Simpson",16.8,32,33.8,12.8,6.7,0.524,3,1.4,0.474,2.2,1.3,0.58,0.497041420118343,4.2,25
"52","Emmanuel Mudiay",16.8,26,31.2,13.6,6.3,0.462,4.3,1.3,0.315,2.1,1.7,0.818,0.538461538461539,3.9,23.2142857142857
"53","Jason Preston",16.7,21,33.1,13.1,6.4,0.486,5.4,2,0.372,1.5,1.3,0.844,0.504531722054381,6,35.9281437125749
"54","Jared Butler",16.7,27,30,14.6,6.4,0.439,6.7,2.4,0.357,1.1,1,0.839,0.556666666666667,7.2,43.1137724550898
"55","Louis King",16.5,32,29.9,13.1,6.1,0.465,6.8,2.7,0.393,1.4,1,0.75,0.551839464882943,8.1,49.0909090909091
"56","D.J. Carton",16.3,24,32.5,10.8,5.7,0.529,2.6,1,0.365,3.1,2.5,0.813,0.501538461538462,3,18.4049079754601
"57","Elijah Hughes",16.2,25,33.1,12.5,5.3,0.426,8.4,3,0.355,1.4,1.2,0.853,0.489425981873112,9,55.5555555555556
"58","Langston Galloway",16.2,29,32.4,11.1,5.4,0.484,6.8,3.2,0.465,1.7,1.4,0.833,0.5,9.6,59.2592592592593
"59","Kris Dunn",16.2,20,29.7,11.6,6.1,0.522,2.6,1.1,0.412,2.5,1.9,0.755,0.545454545454545,3.3,20.3703703703704
"60","Dominick Barlow",16.1,18,29.7,11.6,6.4,0.553,1.3,0.4,0.304,2.2,1.7,0.775,0.542087542087542,1.2,7.45341614906832
"61","Marko Simonovic",15.9,25,28.3,11.5,6,0.524,3.6,1.4,0.393,1.7,1.4,0.814,0.561837455830389,4.2,26.4150943396226
"62","Brandon Randolph",15.8,30,28.8,11.8,5.9,0.501,3.9,1.3,0.345,2.2,1.7,0.773,0.548611111111111,3.9,24.6835443037975
